x,y,z,phi_pg,di
0.00000000e+00,2.85714286e-01,1.42857143e-01,1.86929256e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,2.14285714e-01,1.78133771e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,2.85714286e-01,2.53461390e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,3.57142857e-01,2.25448457e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,4.28571429e-01,4.07252082e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,5.00000000e-01,1.86792855e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,5.71428571e-01,2.24252977e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,6.42857143e-01,1.91157744e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,7.14285714e-01,1.81166075e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,7.85714286e-01,1.70516111e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,8.57142857e-01,2.54206119e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,9.28571429e-01,2.13146509e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,1.00000000e+00,1.91207101e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,0.00000000e+00,1.94102458e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,7.14285714e-02,1.74003272e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,1.42857143e-01,1.69548188e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,2.14285714e-01,1.78219538e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,2.85714286e-01,3.25277928e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,3.57142857e-01,1.81798782e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,4.28571429e-01,1.99924211e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,5.00000000e-01,4.16658931e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,5.71428571e-01,1.72911293e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,6.42857143e-01,1.95142444e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,7.14285714e-01,1.88265768e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,7.85714286e-01,1.66130430e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,8.57142857e-01,1.74069188e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,9.28571429e-01,2.20506899e-01,5.33050578e-01
0.00000000e+00,3.57142857e-01,1.00000000e+00,2.05069888e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,0.00000000e+00,3.45144956e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,7.14285714e-02,1.93333827e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,1.42857143e-01,1.66298584e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,2.14285714e-01,2.59524418e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,2.85714286e-01,1.82389592e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,3.57142857e-01,4.14278720e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,4.28571429e-01,1.80291255e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,5.00000000e-01,1.58369655e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,5.71428571e-01,1.66516374e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,6.42857143e-01,2.01055803e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,7.14285714e-01,2.70916450e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,7.85714286e-01,2.26345328e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,8.57142857e-01,1.77817841e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,9.28571429e-01,1.78067415e-01,5.33050578e-01
0.00000000e+00,4.28571429e-01,1.00000000e+00,1.80477337e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,0.00000000e+00,3.02796393e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,7.14285714e-02,1.80359333e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,1.42857143e-01,3.98298433e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,2.14285714e-01,4.71171373e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,2.85714286e-01,1.98954819e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,3.57142857e-01,2.06567195e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,4.28571429e-01,1.87743737e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,5.00000000e-01,4.51690116e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,5.71428571e-01,1.97673512e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,6.42857143e-01,2.20365589e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,7.14285714e-01,1.84025358e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,7.85714286e-01,1.74887704e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,8.57142857e-01,1.92918310e-01,5.33050578e-01
0.00000000e+00,5.00000000e-01,9.28571429e-01,1.86639400e-01,5.33050578e-01
